timestamp,source_path,original_target,final_target,conflict_detected,action_taken
2025-03-16T16:19:07.675427,src/dewey/consolidated_functions/docker_setup,tests/legacy/docker_setup.py,tests/legacy/docker_setup.py,False,moved
2025-03-16T16:19:08.088554,src/dewey/consolidated_functions/extended_sync,src/dewey/legacy_functions/extended_sync.py,src/dewey/legacy_functions/extended_sync.py,False,moved
2025-03-16T16:19:08.110150,src/dewey/consolidated_functions/database_analyzer,src/dewey/legacy_functions/database_analyzer.py,src/dewey/legacy_functions/database_analyzer.py,False,moved
2025-03-16T16:19:08.128898,src/dewey/consolidated_functions/populate_stocks,src/dewey/legacy_functions/populate_stocks.py,src/dewey/legacy_functions/populate_stocks.py,False,moved
2025-03-16T16:19:08.144948,src/dewey/consolidated_functions/config_utils,src/dewey/legacy_functions/config_utils.py,src/dewey/legacy_functions/config_utils.py,False,moved
2025-03-16T16:19:08.163637,src/dewey/consolidated_functions/tools_menu,src/dewey/legacy_functions/tools_menu.py,src/dewey/legacy_functions/tools_menu.py,False,moved
2025-03-16T16:19:08.178403,src/dewey/consolidated_functions/test_api_client,tests/legacy/test_api_client.py,tests/legacy/test_api_client.py,False,moved
2025-03-16T16:19:08.194802,src/dewey/consolidated_functions/test_forms,tests/legacy/test_forms.py,tests/legacy/test_forms.py,False,moved
2025-03-16T16:19:08.208408,src/dewey/consolidated_functions/format_and_lint,src/dewey/llm/legacy/format_and_lint.py,src/dewey/llm/legacy/format_and_lint.py,False,moved
2025-03-16T16:19:08.220493,src/dewey/consolidated_functions/test_ai_endpoints,tests/legacy/test_ai_endpoints.py,tests/legacy/test_ai_endpoints.py,False,moved
2025-03-16T16:19:08.233259,src/dewey/consolidated_functions/schema_discovery,src/dewey/legacy_functions/schema_discovery.py,src/dewey/legacy_functions/schema_discovery.py,False,moved
2025-03-16T16:19:08.246406,src/dewey/consolidated_functions/data_pipeline,src/dewey/legacy_functions/data_pipeline.py,src/dewey/legacy_functions/data_pipeline.py,False,moved
2025-03-16T16:19:08.260276,src/dewey/consolidated_functions/entity_analysis,src/dewey/core/legacy/entity_analysis.py,src/dewey/core/legacy/entity_analysis.py,False,moved
2025-03-16T16:19:08.272417,src/dewey/consolidated_functions/data_models,src/dewey/llm/legacy/data_models.py,src/dewey/llm/legacy/data_models.py,False,moved
2025-03-16T16:19:08.284251,src/dewey/consolidated_functions/universe_breakdown,src/dewey/legacy_functions/universe_breakdown.py,src/dewey/legacy_functions/universe_breakdown.py,False,moved
2025-03-16T16:19:08.296283,src/dewey/consolidated_functions/settings,src/dewey/core/legacy/settings.py,src/dewey/core/legacy/settings.py,False,moved
2025-03-16T16:19:08.308538,src/dewey/consolidated_functions/database,src/dewey/legacy_functions/database.py,src/dewey/legacy_functions/database.py,False,moved
2025-03-16T16:19:08.325175,src/dewey/consolidated_functions/rag_agent,src/dewey/llm/legacy/rag_agent.py,src/dewey/llm/legacy/rag_agent.py,False,moved
2025-03-16T16:19:08.338921,src/dewey/consolidated_functions/setup_celery_beat,src/dewey/core/legacy/setup_celery_beat.py,src/dewey/core/legacy/setup_celery_beat.py,False,moved
2025-03-16T16:19:08.351375,src/dewey/consolidated_functions/setup_gmail,src/dewey/core/legacy/setup_gmail.py,src/dewey/core/legacy/setup_gmail.py,False,moved
2025-03-16T16:19:08.364137,src/dewey/consolidated_functions/asgi,src/dewey/core/legacy/asgi.py,src/dewey/core/legacy/asgi.py,False,moved
2025-03-16T16:19:08.378461,src/dewey/consolidated_functions/research_output_handler,src/dewey/core/legacy/research_output_handler.py,src/dewey/core/legacy/research_output_handler.py,False,moved
2025-03-16T16:19:08.392335,src/dewey/consolidated_functions/xxxx_llm_tool_tracking,src/dewey/llm/legacy/xxxx_llm_tool_tracking.py,src/dewey/llm/legacy/xxxx_llm_tool_tracking.py,False,moved
2025-03-16T16:19:08.404818,src/dewey/consolidated_functions/priority_manager,src/dewey/llm/legacy/priority_manager.py,src/dewey/llm/legacy/priority_manager.py,False,moved
2025-03-16T16:19:08.417013,src/dewey/consolidated_functions/monotonic,src/dewey/legacy_functions/monotonic.py,src/dewey/legacy_functions/monotonic.py,False,moved
2025-03-16T16:19:08.429633,src/dewey/consolidated_functions/github_analyzer,src/dewey/legacy_functions/github_analyzer.py,src/dewey/legacy_functions/github_analyzer.py,False,moved
2025-03-16T16:19:08.442679,src/dewey/consolidated_functions/data_migration,src/dewey/llm/legacy/data_migration.py,src/dewey/llm/legacy/data_migration.py,False,moved
2025-03-16T16:19:08.456486,src/dewey/consolidated_functions/structured_query,src/dewey/legacy_functions/structured_query.py,src/dewey/legacy_functions/structured_query.py,False,moved
2025-03-16T16:19:08.470769,src/dewey/consolidated_functions/deepseek_engine,src/dewey/legacy_functions/deepseek_engine.py,src/dewey/legacy_functions/deepseek_engine.py,False,moved
2025-03-16T16:19:08.483177,src/dewey/consolidated_functions/upload_to_motherduck,src/dewey/legacy_functions/upload_to_motherduck.py,src/dewey/legacy_functions/upload_to_motherduck.py,False,moved
2025-03-16T16:19:08.497876,src/dewey/consolidated_functions/company_analysis_manager,src/dewey/llm/legacy/company_analysis_manager.py,src/dewey/llm/legacy/company_analysis_manager.py,False,moved
2025-03-16T16:19:08.511436,src/dewey/consolidated_functions/db_sync,src/dewey/llm/legacy/db_sync.py,src/dewey/llm/legacy/db_sync.py,False,moved
2025-03-16T16:19:08.527567,src/dewey/consolidated_functions/tool_launcher,src/dewey/legacy_functions/tool_launcher.py,src/dewey/legacy_functions/tool_launcher.py,False,moved
2025-03-16T16:19:08.539803,src/dewey/consolidated_functions/test_mercury_import,tests/legacy/test_mercury_import.py,tests/legacy/test_mercury_import.py,False,moved
2025-03-16T16:19:08.552174,src/dewey/consolidated_functions/xxxx_create_timelineevent,src/dewey/legacy_functions/xxxx_create_timelineevent.py,src/dewey/legacy_functions/xxxx_create_timelineevent.py,False,moved
2025-03-16T16:19:08.566102,src/dewey/consolidated_functions/vercel_stream,src/dewey/core/legacy/vercel_stream.py,src/dewey/core/legacy/vercel_stream.py,False,moved
2025-03-16T16:19:08.580026,src/dewey/consolidated_functions/service_deployment,src/dewey/legacy_functions/service_deployment.py,src/dewey/legacy_functions/service_deployment.py,False,moved
2025-03-16T16:19:08.592988,src/dewey/consolidated_functions/schema_checker,src/dewey/legacy_functions/schema_checker.py,src/dewey/legacy_functions/schema_checker.py,False,moved
2025-03-16T16:19:08.606266,src/dewey/consolidated_functions/llamacloud,src/dewey/core/legacy/llamacloud.py,src/dewey/core/legacy/llamacloud.py,False,moved
2025-03-16T16:19:08.619691,src/dewey/consolidated_functions/tasks,src/dewey/legacy_functions/tasks.py,src/dewey/legacy_functions/tasks.py,False,moved
2025-03-16T16:19:08.632282,src/dewey/consolidated_functions/feedback_processor,src/dewey/legacy_functions/feedback_processor.py,src/dewey/legacy_functions/feedback_processor.py,False,moved
2025-03-16T16:19:08.646747,src/dewey/consolidated_functions/compat,tests/legacy/compat.py,tests/legacy/compat.py,False,moved
2025-03-16T16:19:08.660912,src/dewey/consolidated_functions/duckdb_analyzer,src/dewey/legacy_functions/duckdb_analyzer.py,src/dewey/legacy_functions/duckdb_analyzer.py,False,moved
2025-03-16T16:19:08.674082,src/dewey/consolidated_functions/llm_utils,src/dewey/llm/legacy/llm_utils.py,src/dewey/llm/legacy/llm_utils.py,False,moved
2025-03-16T16:19:08.687497,src/dewey/consolidated_functions/test_app,tests/legacy/test_app.py,tests/legacy/test_app.py,False,moved
2025-03-16T16:19:08.700173,src/dewey/consolidated_functions/interactive_plot,src/dewey/legacy_functions/interactive_plot.py,src/dewey/legacy_functions/interactive_plot.py,False,moved
2025-03-16T16:19:08.715121,src/dewey/consolidated_functions/api_manager,src/dewey/llm/legacy/api_manager.py,src/dewey/llm/legacy/api_manager.py,False,moved
2025-03-16T16:19:08.728829,src/dewey/consolidated_functions/test_menu,tests/legacy/test_menu.py,tests/legacy/test_menu.py,False,moved
2025-03-16T16:19:08.740827,src/dewey/consolidated_functions/email_data_generator,src/dewey/llm/legacy/email_data_generator.py,src/dewey/llm/legacy/email_data_generator.py,False,moved
2025-03-16T16:19:08.754095,src/dewey/consolidated_functions/api_client,src/dewey/core/legacy/api_client.py,src/dewey/core/legacy/api_client.py,False,moved
2025-03-16T16:19:08.766446,src/dewey/consolidated_functions/gmail_client,src/dewey/legacy_functions/gmail_client.py,src/dewey/legacy_functions/gmail_client.py,False,moved
2025-03-16T16:19:08.781169,src/dewey/consolidated_functions/db_connector,src/dewey/legacy_functions/db_connector.py,src/dewey/legacy_functions/db_connector.py,False,moved
2025-03-16T16:19:08.793729,src/dewey/consolidated_functions/port_database,src/dewey/legacy_functions/port_database.py,src/dewey/legacy_functions/port_database.py,False,moved
2025-03-16T16:19:08.805638,src/dewey/consolidated_functions/forms,src/dewey/legacy_functions/forms.py,src/dewey/legacy_functions/forms.py,False,moved
2025-03-16T16:19:08.818998,src/dewey/consolidated_functions/core,src/dewey/core/legacy/core.py,src/dewey/core/legacy/core.py,False,moved
2025-03-16T16:19:08.831020,src/dewey/consolidated_functions/test_urls,tests/legacy/test_urls.py,tests/legacy/test_urls.py,False,moved
2025-03-16T16:19:08.845397,src/dewey/consolidated_functions/test_investment_models,tests/legacy/test_investment_models.py,tests/legacy/test_investment_models.py,False,moved
2025-03-16T16:19:08.859692,src/dewey/consolidated_functions/test_price_service,tests/legacy/test_price_service.py,tests/legacy/test_price_service.py,False,moved
2025-03-16T16:19:08.871978,src/dewey/consolidated_functions/email_enrichment_service,src/dewey/core/legacy/email_enrichment_service.py,src/dewey/core/legacy/email_enrichment_service.py,False,moved
2025-03-16T16:19:08.885354,src/dewey/consolidated_functions/llm_client,tests/legacy/llm_client.py,tests/legacy/llm_client.py,False,moved
2025-03-16T16:19:08.897756,src/dewey/consolidated_functions/endpoints,src/dewey/legacy_functions/endpoints.py,src/dewey/legacy_functions/endpoints.py,False,moved
2025-03-16T16:19:08.911115,src/dewey/consolidated_functions/priority_actions,src/dewey/legacy_functions/priority_actions.py,src/dewey/legacy_functions/priority_actions.py,False,moved
2025-03-16T16:19:08.923865,src/dewey/consolidated_functions/app,src/dewey/legacy_functions/app.py,src/dewey/legacy_functions/app.py,False,moved
2025-03-16T16:19:08.936938,src/dewey/consolidated_functions/llm_analysis,src/dewey/llm/legacy/llm_analysis.py,src/dewey/llm/legacy/llm_analysis.py,False,moved
2025-03-16T16:19:08.949020,src/dewey/consolidated_functions/model_config,src/dewey/llm/legacy/model_config.py,src/dewey/llm/legacy/model_config.py,False,moved
2025-03-16T16:19:08.960924,src/dewey/consolidated_functions/conftest,tests/legacy/conftest.py,tests/legacy/conftest.py,False,moved
2025-03-16T16:19:08.974352,src/dewey/consolidated_functions/mercury_importer,src/dewey/llm/legacy/mercury_importer.py,src/dewey/llm/legacy/mercury_importer.py,False,moved
2025-03-16T16:19:08.987097,src/dewey/consolidated_functions/test_tick_processor,tests/legacy/test_tick_processor.py,tests/legacy/test_tick_processor.py,False,moved
2025-03-16T16:19:08.999586,src/dewey/consolidated_functions/s3_query,src/dewey/legacy_functions/s3_query.py,src/dewey/legacy_functions/s3_query.py,False,moved
2025-03-16T16:19:09.011099,src/dewey/consolidated_functions/test,tests/legacy/test.py,tests/legacy/test.py,False,moved
